our_article,wb_article
VL-01002,177484293
VL-01006,467403336
VL-01015,404038829
VL-01020,318015174
VL-01028,244732102
VL-01032,310282260
VL-01036,697469668
VL-01042,66894563
VL-01051,734093089
VL-01058,536754739
VL-01059,615361747
VL-01068,893368350
VL-01074,175724579
VL-01077,995690724
VL-01080,667059796
VL-01083,664658731
VL-01087,233579206
VL-01093,806287460
VL-01099,943061774
VL-01101,159378557
VL-01108,495732190
VL-01113,882123840
VL-01117,823057470
VL-01126,343054666
VL-01134,723021660
VL-01139,74536422
VL-01144,684072974
VL-01146,913119657
VL-01147,335377270
VL-01152,168651346
VL-01157,47952249
VL-01158,156695294
VL-01160,222176645
VL-01165,191316042
VL-01169,281981070
VL-01171,343920787
VL-01173,694174477
VL-01175,214562469
VL-01179,16734658
VL-01183,21039800
VL-01191,420172278
VL-01192,250688462
VL-01198,498916365
VL-01200,248055909
VL-01206,261867647
VL-01208,199447045
VL-01213,188298146
VL-01215,42450033
VL-01217,821227667
VL-01221,722774029
VL-01230,71310953
VL-01237,788919395
VL-01242,142612768
VL-01251,213001443
VL-01253,964129254
VL-01254,87481692
VL-01259,599301076
VL-01261,34441351
VL-01266,255005391
VL-01269,208438747
VL-01272,286946192
VL-01277,832005917
VL-01281,970254474
VL-01288,585308366
VL-01297,157913400
VL-01302,724294985
VL-01311,815333759
VL-01315,858894920
VL-01320,485379179
VL-01329,473525549
VL-01330,789806880
VL-01334,360749432
VL-01343,366979697
VL-01350,551276102
VL-01357,946183371
VL-01366,594636062
VL-01371,231829380
VL-01378,618196562
VL-01386,39318220
VL-01395,993566851
VL-01399,706652437
VL-01405,696591395
VL-01410,763249758
VL-01414,135642400
VL-01422,205500681
VL-01423,139769046
VL-01427,431866300
VL-01435,439260799
VL-01442,14380817
VL-01451,898451765
VL-01455,412400581
VL-01463,242972839
VL-01468,161329767
VL-01472,18275323
VL-01477,221856864
VL-01481,620380163
VL-01484,172891746
VL-01485,129534107
VL-01490,163111626
VL-01492,832342774
VL-01499,13759784
VL-01501,133907827
VL-01509,327135536
VL-01512,518965729
VL-01520,391053477
VL-01528,272507841
VL-01529,239113269
VL-01537,208361634
VL-01545,304592564
VL-01546,578055870
